10.4.115.48/28
10.5.1.0/24
10.10.0.0/16
10.12.0.0/14
10.16.0.0/12
10.32.0.0/12
10.40.0.0/16
10.48.0.0/12
10.64.0.0/12
10.85.0.0/16
10.140.0.0/16
10.174.0.0/16
10.200.200.0/24
10.228.0.0/16
10.240.0.0/12
10.250.0.0/16
